Quiz,Discussion Board,Assignment,Exam,Total,Letter grade
19.45,10,24,40,93.45,HD
19.56,10,25,38.17,92.73,HD
19.36,10,25.5,35.5,92.36,HD
19.81,10,25.5,37,92.31,HD
20,10,24,37.33,91.33,HD
19.52,10,26.5,35.17,91.19,HD
18.85,10,24.5,37.33,90.68,HD
19.04,10,24.5,37,90.54,HD
20,10,24.5,35.83,90.33,HD
19.6,9.13,23,38.33,90.06,HD
19.52,10,23,37.5,90.02,HD
19.61,10,24.5,35.83,89.94,HD
20,10,24,35.83,89.83,HD
19.23,10,21,39.33,89.56,HD
19.89,9.53,22,38,89.43,HD
19.52,10,23,36.67,89.19,HD
18.86,10,24.5,35.67,89.03,HD
18.68,10,25.5,34.17,88.35,HD
18.27,9.73,26,34.17,88.17,HD
19.01,10,25,33.17,87.18,HD
18.85,10,22.5,35.83,87.18,HD
18.65,10,23,35.33,86.99,HD
18.7,10,22.5,35.33,86.53,HD
19.19,8.67,26.5,32.17,86.53,HD
18.85,9.47,22.5,35.17,85.98,HD
18.46,10,23,34.5,85.96,HD
18.37,8.6,23.5,35,85.47,HD
19.42,9.73,23.5,32.5,85.16,HD
18.46,10,27,29.33,85,HD
19.02,10,21,34.5,85,HD
19.04,10,22.5,33,85,HD
19.81,7.07,22.5,34.83,85,HD
19.13,9.13,21.5,34.33,85,HD
19.42,9.4,23.5,31.67,83.99,D
18.79,10,25.5,29.5,83.79,D
19.04,9.73,25.5,29.5,83.77,D
18.65,9.87,25.5,29.67,83.69,D
19.13,10,22.5,31.83,83.47,D
16.02,9.4,26,31.33,82.75,D
18.79,8.8,24,31,82.59,D
19.04,8.47,23,31.5,82.01,D
18.85,10,20.5,32.67,82.01,D
19.04,10,22,30.83,81.87,D
18.65,10,24,29.17,81.82,D
18.27,9.67,24,29.17,81.1,D
18.56,8.8,22.5,31.17,81.02,D
17.79,9.33,22.5,30.67,80.29,D
15.99,9.8,23.5,30.83,80.12,D
17.88,8.33,24,28.83,79.05,D
17.88,8.73,20.5,31,78.12,D
19.23,9.87,18,30.67,77.76,D
18.17,9.33,22.5,25.33,75.34,D
,,24,,,NI
18.17,9.47,,,,SET
